id,age,job,work_experience(months),education,monthly_income,total_loans_count,active_loans_count,max_delay_days,possessions,count_dependents,marrige,credit_score
0,39,worker,72,bachelor,90926,3,2,0,4,1,divorsed,0.54
1,33,student,20,bachelor,54983,6,3,9,3,2,married,0.49
2,41,student,2,master,113593,2,1,29,6,2,married,0.43
3,50,student,1,bachelor,70131,5,3,12,3,3,divorsed,0.44
4,32,worker,69,bachelor,240593,2,1,19,5,0,married,0.58
5,32,student,2,master,120612,3,2,25,4,2,single,0.45
6,50,worker,86,bachelor,177931,1,0,39,4,1,married,0.49
7,42,entrepreneur,121,bachelor,923081,4,1,16,10,2,divorsed,0.66
8,30,worker,44,bachelor,338474,4,1,7,3,0,married,0.6
9,40,entrepreneur,177,master,518760,2,1,0,5,0,married,0.71
10,30,entrepreneur,51,bachelor,138550,2,1,0,3,0,single,0.63
11,30,student,18,master,272023,1,0,14,5,2,married,0.51
12,37,entrepreneur,144,bachelor,1822100,3,1,2,10,2,married,0.77
13,18,entrepreneur,153,none,1041726,3,1,5,5,0,single,0.71
14,18,worker,96,none,481459,0,0,16,5,0,married,0.53
15,29,student,16,bachelor,64034,1,0,9,3,0,single,0.48
16,24,worker,69,bachelor,414159,5,2,16,4,0,single,0.48
17,38,unemployed,15,bachelor,47515,2,1,8,4,3,single,0.47
18,25,worker,62,master,74047,2,1,2,1,0,married,0.61
19,20,student,7,none,31551,0,0,15,1,1,married,0.4
20,49,worker,40,bachelor,387642,1,0,12,6,3,married,0.54
21,32,worker,90,master,757740,2,1,7,6,1,married,0.58
22,35,worker,10,master,205133,1,0,8,4,1,married,0.5
23,20,entrepreneur,130,none,749455,4,2,0,6,1,single,0.6
24,29,worker,93,bachelor,515728,0,0,12,3,1,married,0.51
25,36,entrepreneur,178,bachelor,146077,1,0,13,4,2,divorsed,0.68
26,23,entrepreneur,138,bachelor,439317,2,0,10,3,1,single,0.59
27,38,worker,29,master,742415,1,0,5,7,1,single,0.62
28,28,student,7,master,153329,1,0,0,3,1,single,0.6
29,32,entrepreneur,118,phd,143197,4,2,10,4,1,single,0.5
30,28,unemployed,28,bachelor,74916,4,2,14,3,0,married,0.48
31,53,student,13,master,116320,3,1,4,6,1,married,0.44
32,34,worker,55,bachelor,368354,4,1,5,5,1,married,0.62
33,24,worker,82,bachelor,402965,6,3,1,2,1,single,0.62
34,43,entrepreneur,69,master,1842885,6,2,10,13,2,single,0.68
35,22,entrepreneur,12,bachelor,677061,5,3,14,4,2,married,0.57
36,37,student,10,bachelor,196198,2,1,9,2,1,married,0.52
37,18,entrepreneur,178,none,491482,3,1,10,3,0,single,0.67
38,21,student,9,none,130856,1,0,20,3,0,single,0.47
39,36,entrepreneur,13,bachelor,877945,8,3,24,7,2,married,0.47
40,42,worker,68,bachelor,454735,3,2,11,6,3,single,0.52
41,36,worker,21,bachelor,380694,6,3,1,5,0,married,0.55
42,33,student,4,bachelor,119817,2,1,1,2,1,single,0.56
43,31,student,15,master,186510,1,0,18,4,2,single,0.43
44,20,worker,92,bachelor,161455,3,1,10,1,0,single,0.62
45,27,worker,95,bachelor,403382,4,3,2,5,3,married,0.6
46,30,student,15,bachelor,169386,1,0,2,3,0,single,0.41
47,45,student,14,master,188863,3,2,0,4,0,married,0.46
48,38,student,8,bachelor,63099,3,2,7,4,0,married,0.48
49,18,entrepreneur,75,none,908998,6,2,1,5,0,single,0.66
50,38,entrepreneur,108,master,892921,1,0,4,8,0,married,0.71
51,31,student,8,bachelor,101028,1,0,2,4,1,single,0.5
52,28,worker,16,bachelor,338945,2,1,13,1,0,single,0.59
53,41,student,4,master,72898,1,0,0,7,1,married,0.57
54,45,unemployed,5,bachelor,59882,1,0,4,3,2,divorsed,0.53
55,44,unemployed,29,master,76006,5,1,0,5,3,married,0.52
56,26,worker,20,bachelor,100253,5,3,0,2,0,married,0.41
57,31,unemployed,26,master,50730,6,3,1,3,0,married,0.58
58,38,entrepreneur,59,bachelor,1470932,3,1,3,10,1,married,0.65
59,44,entrepreneur,105,phd,913957,2,1,15,10,3,married,0.63
60,30,worker,87,master,719376,0,0,7,5,2,single,0.68
61,33,worker,81,bachelor,723675,2,0,1,7,1,married,0.66
62,23,student,22,bachelor,145693,3,2,4,1,0,married,0.54
63,23,worker,65,bachelor,531756,3,2,24,5,0,single,0.42
64,43,worker,73,master,480596,3,1,5,5,0,married,0.56
65,48,student,21,master,224766,2,1,29,6,3,married,0.43
66,34,worker,85,master,599848,4,2,25,6,1,married,0.51
67,45,worker,92,bachelor,217864,0,0,5,6,3,single,0.6
68,38,student,10,bachelor,134664,1,0,10,4,1,married,0.42
69,28,worker,59,bachelor,394117,3,1,15,4,0,single,0.57
70,38,unemployed,26,master,31848,2,1,1,3,2,married,0.53
71,50,entrepreneur,178,bachelor,220692,4,2,7,4,1,married,0.67
72,34,worker,20,bachelor,746696,3,1,1,9,1,single,0.55
73,50,worker,84,bachelor,291002,1,0,6,5,3,married,0.63
74,18,worker,79,bachelor,194256,7,3,1,2,1,single,0.5
75,43,student,3,master,91564,5,1,14,5,3,married,0.46
76,35,entrepreneur,65,bachelor,1135059,4,2,9,8,2,married,0.57
77,32,student,16,master,113313,1,0,10,4,2,single,0.42
78,35,student,3,bachelor,171481,1,0,2,2,3,single,0.46
79,18,entrepreneur,97,none,1299502,1,0,9,8,0,single,0.69
80,32,student,22,bachelor,0,2,1,13,2,2,single,0.5
81,38,worker,98,bachelor,484265,3,1,3,6,3,married,0.55
82,49,student,21,bachelor,134133,3,1,29,7,1,single,0.55
83,29,student,10,bachelor,82340,1,0,4,5,0,married,0.5
84,26,student,3,bachelor,98035,8,3,4,2,3,married,0.45
85,29,student,11,bachelor,143498,1,0,4,1,1,single,0.48
86,44,worker,34,master,344651,1,0,23,6,2,married,0.43
87,38,entrepreneur,194,master,564967,4,3,3,6,0,married,0.66
88,29,worker,47,bachelor,242144,2,1,9,3,1,married,0.59
89,40,entrepreneur,171,master,1160934,2,1,3,10,1,divorsed,0.77
90,35,student,13,bachelor,89169,3,1,14,4,2,married,0.4
91,44,worker,23,phd,280859,3,2,44,6,2,married,0.36
92,27,student,5,bachelor,138848,2,1,36,2,2,single,0.39
93,31,worker,39,bachelor,468480,4,1,1,4,2,single,0.64
94,31,worker,50,master,475137,4,2,16,4,1,married,0.4
95,20,worker,92,bachelor,470453,5,3,10,3,0,single,0.6
96,37,entrepreneur,171,bachelor,423954,7,3,14,6,0,married,0.69
97,37,worker,72,bachelor,308367,5,3,4,4,1,married,0.52
98,35,worker,68,bachelor,570670,2,1,4,4,2,divorsed,0.73
99,32,unemployed,22,phd,26292,5,1,5,3,1,single,0.51
100,20,worker,48,none,323539,6,3,58,4,1,married,0.24
